customer_tweet_id,customer_text,brand_tweet_id,brand_reply_text
1,Does order #24592 include international shipping or is that separate?,2,"Great question! International shipping is included in the price shown at checkout for order #24592, no extra charge."
3,Does order #46048 include international shipping or is that separate?,4,"Great question! International shipping is included in the price shown at checkout for order #46048, no extra charge."
5,I returned item #28289 two weeks ago and still no refund. This is ridiculous.,6,"I'm sorry about the delay on your refund for #28289. I've escalated this to our refunds team, you should see it within 3-5 business days."
7,"My order #98696 still hasn't arrived, it's been 14 days past the estimate. Where is it??",8,"Sorry for the wait! I've checked order #98696 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
9,"I was charged twice for order #21395, please fix this immediately.",10,Apologies for the duplicate charge on #21395. I've flagged this with billing and the extra charge will be reversed within 2 business days.
11,Order #14165 arrived completely broken. Packaging was fine but the item inside is smashed.,12,"So sorry to hear that! I've started a replacement for order #14165, no need to return the damaged item. It'll ship within 24 hours."
13,"My order #38657 still hasn't arrived, it's been 6 days past the estimate. Where is it??",14,"Sorry for the wait! I've checked order #38657 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
15,"I was charged twice for order #88907, please fix this immediately.",16,Apologies for the duplicate charge on #88907. I've flagged this with billing and the extra charge will be reversed within 2 business days.
17,"I was charged twice for order #36062, please fix this immediately.",18,Apologies for the duplicate charge on #36062. I've flagged this with billing and the extra charge will be reversed within 2 business days.
19,Does order #81426 include international shipping or is that separate?,20,"Great question! International shipping is included in the price shown at checkout for order #81426, no extra charge."
21,I returned item #68878 two weeks ago and still no refund. This is ridiculous.,22,"I'm sorry about the delay on your refund for #68878. I've escalated this to our refunds team, you should see it within 3-5 business days."
23,"Can't log into my account, it keeps saying invalid password even after reset. Help!",24,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
25,This is the THIRD time I've contacted support about order #30926 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,26,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
27,Order #54597 arrived completely broken. Packaging was fine but the item inside is smashed.,28,"So sorry to hear that! I've started a replacement for order #54597, no need to return the damaged item. It'll ship within 24 hours."
29,I returned item #38221 two weeks ago and still no refund. This is ridiculous.,30,"I'm sorry about the delay on your refund for #38221. I've escalated this to our refunds team, you should see it within 3-5 business days."
31,"Can't log into my account, it keeps saying invalid password even after reset. Help!",32,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
33,Order #22676 arrived completely broken. Packaging was fine but the item inside is smashed.,34,"So sorry to hear that! I've started a replacement for order #22676, no need to return the damaged item. It'll ship within 24 hours."
35,This is the THIRD time I've contacted support about order #55082 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,36,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
37,"Can't log into my account, it keeps saying invalid password even after reset. Help!",38,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
39,Order #80284 arrived completely broken. Packaging was fine but the item inside is smashed.,40,"So sorry to hear that! I've started a replacement for order #80284, no need to return the damaged item. It'll ship within 24 hours."
41,Order #20328 arrived completely broken. Packaging was fine but the item inside is smashed.,42,"So sorry to hear that! I've started a replacement for order #20328, no need to return the damaged item. It'll ship within 24 hours."
43,"Can't log into my account, it keeps saying invalid password even after reset. Help!",44,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
45,This is the THIRD time I've contacted support about order #57400 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,46,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
47,I returned item #19116 two weeks ago and still no refund. This is ridiculous.,48,"I'm sorry about the delay on your refund for #19116. I've escalated this to our refunds team, you should see it within 3-5 business days."
49,Does order #39871 include international shipping or is that separate?,50,"Great question! International shipping is included in the price shown at checkout for order #39871, no extra charge."
51,"Can't log into my account, it keeps saying invalid password even after reset. Help!",52,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
53,This is the THIRD time I've contacted support about order #23238 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,54,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
55,"Can't log into my account, it keeps saying invalid password even after reset. Help!",56,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
57,This is the THIRD time I've contacted support about order #57819 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,58,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
59,"Can't log into my account, it keeps saying invalid password even after reset. Help!",60,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
61,Does order #44993 include international shipping or is that separate?,62,"Great question! International shipping is included in the price shown at checkout for order #44993, no extra charge."
63,Does order #94939 include international shipping or is that separate?,64,"Great question! International shipping is included in the price shown at checkout for order #94939, no extra charge."
65,"I was charged twice for order #93227, please fix this immediately.",66,Apologies for the duplicate charge on #93227. I've flagged this with billing and the extra charge will be reversed within 2 business days.
67,"I was charged twice for order #42087, please fix this immediately.",68,Apologies for the duplicate charge on #42087. I've flagged this with billing and the extra charge will be reversed within 2 business days.
69,Order #59735 arrived completely broken. Packaging was fine but the item inside is smashed.,70,"So sorry to hear that! I've started a replacement for order #59735, no need to return the damaged item. It'll ship within 24 hours."
71,Does order #83000 include international shipping or is that separate?,72,"Great question! International shipping is included in the price shown at checkout for order #83000, no extra charge."
73,Does order #52504 include international shipping or is that separate?,74,"Great question! International shipping is included in the price shown at checkout for order #52504, no extra charge."
75,This is the THIRD time I've contacted support about order #17331 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,76,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
77,This is the THIRD time I've contacted support about order #14207 with no resolution. I want a manager to call me NOW or I'm disputing the charge with my bank.,78,"I completely understand your frustration and I'm escalating this to a senior specialist right now, they'll reach out directly within the hour."
79,"Can't log into my account, it keeps saying invalid password even after reset. Help!",80,Sorry for the trouble! Please try clearing your browser cache and resetting again via the link we just sent. Let us know if it persists.
81,"My order #37653 still hasn't arrived, it's been 12 days past the estimate. Where is it??",82,"Sorry for the wait! I've checked order #37653 and it's currently in transit, expected within 2 days. I'll send you tracking details via DM."
83,Does order #51245 include international shipping or is that separate?,84,"Great question! International shipping is included in the price shown at checkout for order #51245, no extra charge."
85,Does order #75435 include international shipping or is that separate?,86,"Great question! International shipping is included in the price shown at checkout for order #75435, no extra charge."
