customer_tweet_id,customer_text,intent,should_escalate,escalation_reason,brand_reply_text_actual
1177313,"@AmazonHelp Thanks, might sign up for the free trial &amp; see how get on",positive_feedback,FALSE,,"@266930 That's great, Colin. You have a lovely weekend:)^GA"
336184,@115821 I’ve been a loyal Prime member for many years but the days of reliable 2 day shipping appear to be over along with personable customer service. Very disappointing. Unreliable USPS shipping needs to go and bring back USA based customer service.,prime_membership_question,TRUE,explicit anger and dissatisfaction,@196194 We certainly don't want you feeling this way! Is there a recent order you're having issues with: https://t.co/PCtircFm5C? ^GL
1250357,.@AmazonHelp I guess the delivwey of the book will happen till I will fill the forms and all.20 days for a book.supposed to be a diwali gift https://t.co/uwKpauGZia,delivery_delay,TRUE,customer frustration with delayed delivery,@119350 We dispatch to meet the estimated delivery date. May I please know if the estimated delivery date for the order has passed? ^SH
510403,"So much for @116090 Prime.
2 day shipping that ACTUALLY takes 7.
And you PAY for this!  Woohoo! https://t.co/1AVq2U2AS5",delivery_delay,TRUE,explicit anger,@237260 Two-Day Shipping refers to the time in transit once an order is dispatched from one of our facilities. We always aim to deliver by the dates provided during checkout and in your Order Confirmation e-mails. Are we missing these dates for your orders? ^EZ
462500,I absolutely love physical books but I'm always impressed with how fast I can demolish a similarly sized book on my @117634 in half the time.,positive_feedback,FALSE,,"@224915 We try to make using the Kindle as smooth and effortless as possible, Michael! So how big are these books we're talking about, and what is your best time? ^JD"
698629,my fucking spatula i ordered on amazon better be at my god damn house now come on @117795,delivery_delay,TRUE,explicit anger,@286650 We'd like to help; what is the current order status showing after reviewing your order details here: https://t.co/Y5jpI9gRhE? ^WM
1494283,Got the echo dot today. But to my surprise no Fibaro skills available here in India. Why? @115850 @61683  Bring it asap!,product_or_shipping_inquiry,TRUE,customer frustration with product availability,@466970 Thank you for bringing this to our notice. I'll be sure to share your feedback internally. Appreciate your cooperation. ^BS
231779,@115850 I bought product @115821 during the great indian festival 21st to 24th sep Amazon is denying Buy now Pay next year offer on EMI. #BadAmazon😡,billing_dispute,TRUE,customer expressed anger and dissatisfaction,@171272 We will look into it. 2/2 ^SB
1379926,@AmazonHelp But I haven't received any email from your correspondence...,account_login_issue,FALSE,routine status check,@436437 We have sent you a correspondence here: https://t.co/DTSNmGldJf. Kindly check &amp; reply if the issue still persists. ^AH
191541,@115850 courier did not pick up my call thru d day &amp; nw says unable to contact me. I cld him multpl times as he was non commital to.. 1/2 https://t.co/fBrGPaWhOX,delivery_delay,TRUE,repeated/unresolved contact,@161022 Apologies. I’d like to assist you. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you at the earliest. ^NK
